t,x,y,z,vx,vy,vz
0.0,25512548.0,0.0,0.0,0.0,206768181.75790733,206768181.75790736
0.004,25469111.266781818,-6111.746198717733,826984.4593464668,123801819.42544486,148442569.3135287,219417589.48795968
0.008,25349126.7178331,-4996.684909467527,1642200.0994837922,112993524.15758774,139306474.54061118,230937954.5750135
0.012,25156784.375024233,9884.748447700049,2435384.80855917,-154169362.22871026,185363119.945213,165464483.04302207
0.016,24877860.55040805,-1607.046615368543,3189282.838497006,69478624.19018173,-148528109.686602,242112165.48375103
0.02,24554903.709572762,214.64762793825295,3906827.0539511396,45111564.85011456,-159831304.9357061,240676312.99990144
0.024,24193425.23105741,17072.21482997194,4583612.188585434,-258222358.2990196,121688213.41787761,63398663.68885177
0.027999999999999997,23771806.626179084,17667.94178437942,5194991.805425394,-259061297.21499643,-130385490.17863712,37324034.70996751
0.032,23335496.87635276,19894.275436612195,5758903.08087105,-289210443.01214945,-40150718.93437169,-15858186.825117996
0.036,22888281.05940598,13067.293254106984,6270431.204330177,-152558589.49270076,235566488.64773595,82101117.94668591
0.04,22420611.031557705,3003.231934763031,6707707.097335728,41795290.19294976,-90363322.90565652,274943603.37212014
0.044,21970503.72026572,20654.51092131199,7097467.402214648,-264746871.5489528,-75843266.1627314,-98302478.83553806
0.048,21544669.191568885,6933.587415083398,7439412.338978162,-5783510.5304171,202064986.2950044,211288850.59946895
0.052,21134188.444531035,14377.963838281004,7709173.651004326,-122696985.07910721,-264323552.36824316,24197493.59541239
0.055999999999999994,20780753.98384933,13921.006476515027,7956108.788295847,-98303973.39815202,273670619.1472861,30793345.155550227
0.06,20458116.697523464,15610.572091059365,8129098.939214399,-109002137.5226,-270312350.83148265,-23622315.275526445
0.064,20202060.409459647,6112.575057466643,8277617.733638299,70987695.49189514,-92798946.02208494,268064130.71838686
0.06799999999999999,20003466.497135434,9495.997850413247,8378043.947723779,34095186.72001382,-237975703.849125,166480329.5779939
0.072,19879791.218919706,13314.923908790395,8457002.867468307,-7875140.338551492,288930387.54754734,44378567.67469841
0.076,19813959.45930294,8262.692418564548,8475912.675886648,99125717.07386152,-170236973.47769886,216119247.0414844
0.08,19824260.834929466,19919.23691923824,8469073.681551889,-69040606.47575223,-228286389.68998656,-169217781.3804004
0.08399999999999999,19912590.635180067,14802.948666408469,8440578.971929781,40241536.025301576,289555292.1186116,7487764.251531469
0.088,20060826.874410648,23835.41570913349,8357244.103794721,-84967844.20717159,52090553.30882305,-274929636.69200087
0.092,20279904.889151335,12136.66677921367,8245866.778433759,137104543.74396953,236713236.82868943,103391031.37599441
0.096,20556352.51459741,11754.90529360254,8088324.1973919375,170615833.62340954,206564480.71850082,117229740.91440928
0.09999999999999999,20887774.30580368,19259.401159385143,7889372.565873343,67609005.92683326,270372510.6562499,-88599392.25822276
0.104,21259243.405745037,27523.701472702345,7635068.522682337,-52070777.11818874,18401662.37775575,-287180400.84132224
0.108,21665697.56258623,20943.78428813892,7329612.934915088,88784522.95325279,-258013661.9271158,-105209856.73810375
0.11199999999999999,22109029.260646444,11992.254278629423,6984731.763357854,274489372.95870984,-25469945.877874896,97621200.70540057
0.11599999999999999,22570443.580266837,22806.094346763246,6585451.271536572,103757816.8823761,245767642.71256045,-119815368.05123538
0.12,23018813.242904928,31277.970418772828,6110864.696096619,-27428144.137144923,-140565481.2272683,-254974997.20574114
0.124,23477672.955681216,15897.052799519855,5595190.314192068,277608723.0537728,91904242.95594713,-3202150.73503133
0.128,23898897.524152357,27894.25273394298,5007875.1771114925,78779783.55678721,-224439616.71694586,-170128997.04950765
0.132,24300486.631755687,32634.426994749985,4374481.000040989,11705257.904964255,-198969502.19760424,-214003297.58882514
0.13599999999999998,24668053.347581536,19266.287292142923,3693541.5210491163,279264112.3425529,15681987.29613997,-85375221.99915652
0.13999999999999999,24963924.48428909,26452.83184374653,2958167.269393884,164222693.7363183,-187030386.4931346,-153537768.58962354
0.144,25225861.64154207,32519.3372079105,2193775.1665984625,67864477.80961871,209701015.96652442,-192206157.44429353
0.148,25396015.095982466,41412.57970417709,1392371.8988769674,-82698455.66142684,171636858.53772086,-221867232.67122647
0.152,25493235.059897974,37939.08429509972,572154.4965004856,-5539700.933491476,206124910.70656914,-207376834.0779631
0.156,25504465.845801182,29832.184780281706,-256347.11557017738,155555174.48340583,128598782.35590374,-211632376.39451435
0.16,25431419.91320672,29051.734101050388,-1079895.3267317056,178349498.01732478,-21920766.07656625,-230725512.1616269
0.16399999999999998,25289920.433233976,30432.402635541657,-1888910.138922415,158617484.1995134,8072528.61558261,-245557849.16119674
0.16799999999999998,25083207.38870617,45032.87457600415,-2674972.605341153,-108906331.7211822,206259904.50423667,-176407473.51594183
